FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,630.0,639.3,619.8,629.95,629.95,224.0,1972.27,557200.0,30800.0,13-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,628.2,636.3,622.05,633.0,633.0,6.0,52.96,15400.0,0.0,13-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,632.25,642.45,627.7,633.6,633.6,6888.0,61329.8,40077800.0,-982800.0,15-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,635.25,645.0,629.9,636.0,636.0,271.0,2422.94,606200.0,49000.0,15-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,633.0,639.75,633.0,639.75,637.85,2.0,17.81,16800.0,1400.0,15-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,633.8,653.25,628.25,648.65,648.65,9874.0,89076.35,41526800.0,1449000.0,16-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,635.85,655.65,631.35,651.05,651.05,427.0,3856.36,645400.0,39200.0,16-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,641.5,654.45,641.5,654.45,654.45,5.0,45.5,22400.0,5600.0,16-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,642.8,651.75,636.2,641.55,641.55,10182.0,91686.17,41262200.0,-264600.0,19-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,669.45,669.45,639.25,644.6,644.6,632.0,5713.93,908600.0,263200.0,19-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,654.45,656.15,645.0,645.25,645.25,19.0,172.44,32200.0,9800.0,19-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,644.0,659.9,640.45,646.35,646.35,13497.0,122913.71,41291600.0,29400.0,20-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,649.3,662.6,643.95,649.1,649.1,1526.0,13939.62,1436400.0,527800.0,20-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,651.95,664.95,646.0,650.5,649.55,17.0,156.15,39200.0,7000.0,20-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,650.3,658.7,637.2,639.65,639.65,11971.0,108844.47,37942800.0,-3348800.0,22-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,650.2,661.1,641.0,642.55,642.55,3314.0,30264.81,4417000.0,2980600.0,22-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,661.0,665.95,645.0,645.0,645.0,18.0,164.79,50400.0,11200.0,22-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,637.05,645.55,629.55,638.75,638.75,10647.0,95026.6,31511200.0,-6431600.0,23-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,635.0,648.35,632.45,641.5,641.5,5961.0,53380.4,10669400.0,6252400.0,23-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,645.95,651.1,637.0,638.0,642.1,14.0,126.21,56000.0,5600.0,23-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,643.75,643.8,630.0,634.25,634.25,15214.0,134895.02,17568600.0,-13942600.0,26-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,644.0,644.95,633.15,636.55,636.55,12091.0,107644.44,23963800.0,13294400.0,26-Apr-2021,,,N,,,,,,,
