FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,936.0,939.7,929.2,930.8,930.8,9.0,54.65,16900.0,5850.0,02-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,928.9,928.9,909.3,916.25,916.25,4197.0,24987.1,10381800.0,-18200.0,03-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,927.1,927.1,914.0,919.4,919.4,134.0,800.99,141700.0,15600.0,03-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,920.0,923.45,918.0,922.45,922.45,10.0,59.88,22100.0,5200.0,03-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,916.25,916.25,895.75,898.65,898.65,3166.0,18589.66,10316150.0,-65650.0,06-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,912.4,914.7,899.9,901.9,901.9,141.0,831.78,150800.0,9100.0,06-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,916.25,916.25,905.3,905.95,905.95,62.0,367.55,50050.0,27950.0,06-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,899.5,899.9,886.35,894.0,894.0,3118.0,18097.65,10556650.0,240500.0,07-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,903.4,903.4,890.5,897.45,897.45,199.0,1159.78,189150.0,38350.0,07-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,900.0,903.55,895.3,901.15,901.15,24.0,140.51,57850.0,7800.0,07-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,897.35,905.1,892.4,902.7,902.7,3378.0,19752.29,10686650.0,130000.0,08-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,898.0,908.95,896.15,906.0,906.0,348.0,2042.75,248300.0,59150.0,08-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,901.8,911.6,901.8,910.25,910.25,29.0,170.94,63050.0,5200.0,08-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,903.55,904.0,894.15,899.15,899.15,2629.0,15351.14,11009700.0,323050.0,09-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,906.0,906.0,898.0,902.25,902.25,277.0,1621.49,329550.0,81250.0,09-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,973.8,973.8,903.0,905.0,902.05,23.0,135.73,72150.0,9100.0,09-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,899.15,903.8,895.05,898.1,898.1,2488.0,14546.8,11107200.0,97500.0,10-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,903.6,907.1,899.1,901.15,901.15,200.0,1173.84,365950.0,36400.0,10-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,910.0,910.0,903.0,905.35,905.35,57.0,336.2,57200.0,-14950.0,10-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,898.05,906.0,889.35,894.8,894.8,3093.0,18036.6,11267100.0,159900.0,13-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,904.95,909.0,893.15,898.55,898.55,200.0,1171.25,390650.0,24700.0,13-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,908.0,908.0,899.0,902.95,902.95,18.0,105.61,64350.0,7150.0,13-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,894.95,909.65,893.9,898.8,898.8,4766.0,27914.13,11601200.0,334100.0,14-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,896.7,912.55,896.7,902.3,902.3,270.0,1587.22,414700.0,24050.0,14-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,908.0,910.5,898.7,904.55,902.65,21.0,123.86,59800.0,-4550.0,14-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,898.45,903.65,894.45,898.55,898.55,2450.0,14324.7,11662950.0,61750.0,15-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,902.3,906.85,898.25,902.2,902.2,155.0,909.76,428350.0,13650.0,15-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,905.95,906.0,902.65,905.4,905.4,12.0,70.61,57200.0,-2600.0,15-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,905.0,905.05,880.1,883.6,883.6,4379.0,25297.93,11701950.0,39000.0,16-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,906.25,906.25,884.0,887.05,887.05,398.0,2307.21,516750.0,88400.0,16-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,902.0,902.15,888.8,890.65,890.65,34.0,197.9,71500.0,14300.0,16-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,887.0,887.0,851.7,860.7,860.7,5319.0,29878.24,11356150.0,-345800.0,17-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,888.95,889.0,855.95,864.45,864.45,621.0,3501.95,620100.0,103350.0,17-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,888.0,888.0,860.0,868.4,868.4,22.0,124.38,81250.0,9750.0,17-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,862.0,896.85,862.0,894.05,894.05,9645.0,55337.6,10755550.0,-600600.0,20-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,869.3,899.75,864.45,897.5,897.5,1000.0,5759.52,576550.0,-43550.0,20-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,872.55,902.05,872.55,899.65,899.65,61.0,352.62,72150.0,-9100.0,20-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,894.7,898.25,882.8,886.6,886.6,4109.0,23757.27,10342150.0,-413400.0,21-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,897.5,902.0,886.0,889.6,889.6,669.0,3882.57,629200.0,52650.0,21-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,901.05,905.0,893.05,893.05,893.2,11.0,64.21,72150.0,0.0,21-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,889.85,896.5,880.85,892.6,892.6,2633.0,15225.95,10132850.0,-209300.0,22-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,893.7,898.55,884.45,895.5,895.5,601.0,3489.85,729950.0,100750.0,22-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,891.95,901.0,891.95,900.1,900.1,6.0,34.94,74100.0,1950.0,22-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,893.95,912.05,893.4,910.2,910.2,4387.0,25813.62,9785100.0,-347750.0,23-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,898.85,915.35,897.0,913.4,913.4,1016.0,5992.93,803400.0,73450.0,23-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,903.45,918.35,903.45,917.1,917.1,37.0,219.59,61750.0,-12350.0,23-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,911.9,912.5,903.0,907.0,907.0,2669.0,15740.24,9471800.0,-313300.0,24-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,914.0,915.6,906.3,909.85,909.85,877.0,5192.1,1040650.0,237250.0,24-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,916.95,916.95,912.1,914.0,914.0,7.0,41.58,62400.0,650.0,24-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,908.95,930.5,908.95,928.35,928.35,10271.0,61594.58,7275450.0,-2196350.0,27-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,915.7,933.25,914.3,931.35,931.35,5350.0,32183.72,3110250.0,2069600.0,27-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,921.95,936.4,921.95,935.3,935.3,63.0,380.34,63050.0,650.0,27-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,930.6,934.65,923.2,932.65,932.65,7485.0,45232.77,5221450.0,-2054000.0,28-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,934.05,937.8,925.95,936.4,936.4,5500.0,33354.03,5194150.0,2083900.0,28-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,935.0,940.2,931.05,940.05,940.05,29.0,176.63,57850.0,-5200.0,28-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,935.0,946.0,934.25,937.75,937.75,6428.0,39281.31,3142750.0,-2078700.0,29-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,947.85,949.5,937.8,940.9,940.9,6552.0,40179.75,7326800.0,2132650.0,29-Dec-2021,,,N,,,,,,,
