symbol,expiry,entry_date,exit_date,direction,entry_premium_pct,exit_premium_pct,pnl_pct,pnl_rupees,spot,lot_size,days_held,month
PERSISTENT,2024-04-25,2024-04-22,2024-04-25,BUY,-44.167,-45.499,-1.332,-16780.0,6296.5,200,3,2024-04
PERSISTENT,2024-05-30,2024-05-27,2024-05-30,BUY,-40.357,-44.204,-3.847,-48440.0,6296.5,200,3,2024-05
PERSISTENT,2024-06-27,2024-06-24,2024-06-27,BUY,-36.813,-35.87,0.943,11880.0,6296.5,200,3,2024-06
PERSISTENT,2024-07-25,2024-07-22,2024-07-25,BUY,-24.175,-25.012,-0.837,-10540.0,6296.5,200,3,2024-07
PERSISTENT,2024-08-29,2024-08-26,2024-08-29,BUY,-20.677,-19.315,1.361,17140.0,6296.5,200,3,2024-08
PERSISTENT,2024-09-26,2024-09-23,2024-09-26,BUY,-15.319,-14.035,1.284,16170.0,6296.5,200,3,2024-09
PIDILITIND,2023-02-23,2023-02-20,2023-02-23,SELL,57.486,53.777,3.709,13650.0,1472.1,250,3,2023-02
PIDILITIND,2023-03-29,2023-03-24,2023-03-29,SELL,60.726,56.922,3.804,14000.0,1472.1,250,5,2023-03
PIDILITIND,2023-04-27,2023-04-24,2023-04-27,SELL,64.551,62.36,2.191,8062.0,1472.1,250,3,2023-04
PIDILITIND,2023-05-25,2023-05-22,2023-05-25,SELL,72.597,71.153,1.444,5312.0,1472.1,250,3,2023-05
PIDILITIND,2023-06-29,2023-06-26,2023-06-27,SELL,79.339,78.405,0.934,3437.0,1472.1,250,1,2023-06
PIDILITIND,2023-07-27,2023-07-24,2023-07-27,SELL,79.349,76.663,2.687,9887.0,1472.1,250,3,2023-07
PIDILITIND,2023-08-31,2023-08-28,2023-08-31,SELL,70.671,71.242,-0.571,-2100.0,1472.1,250,3,2023-08
PIDILITIND,2023-09-28,2023-09-25,2023-09-28,SELL,69.574,64.527,5.047,18575.0,1472.1,250,3,2023-09
PIDILITIND,2023-10-26,2023-10-23,2023-10-26,SELL,59.69,55.737,3.954,14550.0,1472.1,250,3,2023-10
PIDILITIND,2023-11-30,2023-11-24,2023-11-30,SELL,69.9,72.526,-2.626,-9663.0,1472.1,250,6,2023-11
PIDILITIND,2024-01-25,2024-01-20,2024-01-25,SELL,82.226,75.63,6.596,24275.0,1472.1,250,5,2024-01
PIDILITIND,2024-02-29,2024-02-26,2024-02-29,SELL,84.396,85.735,-1.338,-4925.0,1472.1,250,3,2024-02
PIDILITIND,2024-03-28,2024-03-22,2024-03-28,SELL,101.352,104.606,-3.254,-11975.0,1472.1,250,6,2024-03
PIDILITIND,2024-04-25,2024-04-22,2024-04-25,SELL,97.201,98.098,-0.897,-3300.0,1472.1,250,3,2024-04
PIDILITIND,2024-05-30,2024-05-27,2024-05-30,SELL,105.095,103.42,1.674,6162.0,1472.1,250,3,2024-05
PIDILITIND,2024-06-27,2024-06-24,2024-06-27,SELL,111.368,113.454,-2.085,-7675.0,1472.1,250,3,2024-06
PIDILITIND,2024-07-25,2024-07-22,2024-07-25,SELL,112.903,111.171,1.732,6375.0,1472.1,250,3,2024-07
PIDILITIND,2024-08-29,2024-08-26,2024-08-29,SELL,110.964,109.412,1.552,5712.0,1472.1,250,3,2024-08
PIDILITIND,2024-09-26,2024-09-23,2024-09-26,SELL,123.66,123.521,0.139,512.0,1472.1,250,3,2024-09
PNB,2023-02-23,2023-02-20,2023-02-23,BUY,-59.549,-60.57,-1.021,-20000.0,122.37,16000,3,2023-02
PNB,2023-03-29,2023-03-24,2023-03-29,BUY,-62.736,-62.246,0.49,9600.0,122.37,16000,5,2023-03
PNB,2023-04-27,2023-04-24,2023-04-27,BUY,-59.712,-58.813,0.899,17600.0,122.37,16000,3,2023-04
PNB,2023-05-25,2023-05-22,2023-05-25,BUY,-58.568,-59.467,-0.899,-17600.0,122.37,16000,3,2023-05
PNB,2023-06-29,2023-06-26,2023-06-27,BUY,-58.895,-58.405,0.49,9600.0,122.37,16000,1,2023-06
