Ticker,Date,Type,Description
MANAPPURAM,2022-11-22,Dividend,Interim Dividend - Re 0.75 Per Share
MANAPPURAM,2023-02-15,Dividend,Interim Dividend - Re 0.75 Per Share
MARICO,2021-03-10,Dividend, Interim Dividend - Rs 4.50 Per Share
MARICO,2021-11-08,Dividend, Interim Dividend - Rs 3 Per Share
MARICO,2022-02-04,Dividend,Interim Dividend - Rs 6.25 Per Share
MARICO,2023-03-08,Dividend,Interim Dividend - Rs 4.50 Per Share
MARUTI,2021-08-05,Dividend, Dividend - Rs 45 Per Share
MARUTI,2022-08-03,Dividend,Dividend - Rs 60 Per Share
MAZDOCK,2021-02-22,Dividend, Interim Dividend - Rs 5.41 Per Share
MAZDOCK,2021-09-20,Dividend, Annual General Meeting/Dividend - Rs 1.83 Per Share
MAZDOCK,2022-01-06,Dividend,Interim Dividend - Rs 7.10 Per Share
MAZDOCK,2022-09-19,Dividend,Annual General Meeting/Dividend - Rs  1.63 Per Share
MAZDOCK,2022-11-21,Dividend,Interim Dividend - Rs 9.10 Per Share
MCX,2021-08-26,Dividend, Dividend - Rs 27.60 Per Share
MCX,2022-09-19,Dividend,Dividend - Rs 17.40 Per Share
