strategy,symbol,entry_date,exit_date,pnl_pct,portfolio_pnl,days_held,exit_reason
PAIR,POWERGRID/RECLTD,2025-08-11,2025-08-12,-0.1699,-1036.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-08-12,2025-08-13,-0.4958,-3021.0,1,z_revert
MEAN_REV,BAJFINANCE,2025-08-06,2025-08-18,3.1687,19272.0,12,time_stop
PAIR,NHPC/PFC,2025-08-07,2025-08-20,0.1476,908.0,13,z_revert
PAIR,POWERGRID/RECLTD,2025-08-13,2025-08-21,0.0168,104.0,8,z_revert
PAIR,NHPC/PFC,2025-08-20,2025-08-21,-0.338,-2080.0,1,z_revert
MEAN_REV,NESTLEIND,2025-08-12,2025-08-22,6.2975,38704.0,10,time_stop
PAIR,DLF/GODREJPROP,2025-08-18,2025-08-22,1.5724,9877.0,4,z_revert
PAIR,DLF/GODREJPROP,2025-08-22,2025-08-25,-0.1341,-847.0,3,z_revert
PAIR,NHPC/PFC,2025-08-21,2025-08-26,0.3308,2088.0,5,z_revert
BREAKOUT,ZYDUSLIFE,2025-08-25,2025-08-26,-3.9292,-24834.0,1,stoploss
PAIR,CHOLAFIN/LICHSGFIN,2025-08-22,2025-08-29,2.4208,15090.0,7,z_revert
PAIR,JUBLFOOD/PAGEIND,2025-08-29,2025-09-01,-0.1053,-662.0,3,z_revert
PAIR,DLF/GODREJPROP,2025-08-26,2025-09-03,-0.3899,-2450.0,8,z_revert
PAIR,POWERGRID/RECLTD,2025-08-21,2025-09-05,-1.9257,-12084.0,15,time_stop
MEAN_REV,HDFCBANK,2025-08-26,2025-09-05,-0.6429,-4007.0,10,time_stop
BREAKOUT,EICHERMOT,2025-09-01,2025-09-05,4.6323,28808.0,4,target
BREAKOUT,M&M,2025-09-05,2025-09-08,3.7262,23549.0,3,target
BREAKOUT,TATASTEEL,2025-09-03,2025-09-10,0.6875,4401.0,7,time_stop
PAIR,POWERGRID/RECLTD,2025-09-05,2025-09-10,1.0228,6564.0,5,z_revert
PAIR,DLF/GODREJPROP,2025-09-08,2025-09-10,0.7709,4965.0,2,z_revert
PAIR,DLF/GODREJPROP,2025-09-10,2025-09-11,0.0359,232.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-09-11,2025-09-12,-0.0239,-155.0,1,z_revert
MEAN_REV,HDFCBANK,2025-09-05,2025-09-15,0.4503,2908.0,10,time_stop
PAIR,POWERGRID/RECLTD,2025-09-10,2025-09-15,0.287,1857.0,5,z_revert
PAIR,DLF/GODREJPROP,2025-09-12,2025-09-15,-0.0869,-563.0,3,z_revert
PAIR,POWERGRID/RECLTD,2025-09-15,2025-09-16,-0.1238,-802.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-09-15,2025-09-16,-0.1054,-682.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-09-16,2025-09-17,0.7034,4550.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-09-16,2025-09-17,0.4887,3168.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-09-17,2025-09-18,-0.2276,-1478.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-09-17,2025-09-18,0.1605,1041.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-09-18,2025-09-19,0.5028,3265.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-09-18,2025-09-19,1.7466,11361.0,1,z_revert
BREAKOUT,NHPC,2025-09-15,2025-09-22,1.4524,9505.0,7,time_stop
PAIR,POWERGRID/RECLTD,2025-09-19,2025-09-22,-0.1537,-1011.0,3,z_revert
PAIR,DLF/GODREJPROP,2025-09-19,2025-09-22,-0.6147,-4041.0,3,z_revert
PAIR,POWERGRID/RECLTD,2025-09-22,2025-09-23,0.0203,133.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-09-22,2025-09-23,0.9032,5925.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-09-23,2025-09-24,-0.328,-2158.0,1,z_revert
PAIR,PRESTIGE/LODHA,2025-09-10,2025-09-25,-0.2897,-1905.0,15,time_stop
PAIR,POWERGRID/RECLTD,2025-09-23,2025-09-25,-0.8202,-5386.0,2,z_revert
PAIR,DLF/GODREJPROP,2025-09-24,2025-09-25,-0.3783,-2477.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-09-25,2025-09-26,-0.5766,-3770.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-09-25,2025-09-26,0.0579,378.0,1,z_revert
PAIR,PRESTIGE/LODHA,2025-09-25,2025-09-26,0.34,2219.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-09-26,2025-09-29,0.84,5490.0,3,z_revert
PAIR,DLF/GODREJPROP,2025-09-26,2025-09-29,0.7547,4947.0,3,z_revert
PAIR,PRESTIGE/LODHA,2025-09-26,2025-09-29,0.025,164.0,3,z_revert
PAIR,POWERGRID/RECLTD,2025-09-29,2025-09-30,0.2657,1746.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-09-29,2025-09-30,-0.2466,-1622.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-09-30,2025-10-01,0.4392,2887.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-09-30,2025-10-01,0.9472,6236.0,1,z_revert
MEAN_REV,HDFCBANK,2025-09-22,2025-10-03,0.2017,1332.0,11,time_stop
PAIR,POWERGRID/RECLTD,2025-10-01,2025-10-03,-1.0377,-6859.0,2,z_revert
PAIR,DMART/PAGEIND,2025-10-01,2025-10-03,-0.6195,-4080.0,2,z_revert
BREAKOUT,HINDPETRO,2025-09-29,2025-10-06,3.523,23151.0,7,time_stop
PAIR,POWERGRID/RECLTD,2025-10-03,2025-10-06,0.1339,891.0,3,z_revert
PAIR,DLF/GODREJPROP,2025-10-03,2025-10-06,0.1991,1325.0,3,z_revert
PAIR,POWERGRID/RECLTD,2025-10-06,2025-10-07,-0.5699,-3795.0,1,z_revert
BREAKOUT,AXISBANK,2025-10-06,2025-10-07,-2.0227,-13444.0,1,stoploss
PAIR,POWERGRID/RECLTD,2025-10-07,2025-10-08,0.0685,452.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-10-07,2025-10-08,-0.1647,-1087.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-10-08,2025-10-09,-0.1203,-794.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-10-08,2025-10-09,-0.3232,-2131.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-10-09,2025-10-10,0.752,4953.0,1,z_revert
BREAKOUT,IOC,2025-10-06,2025-10-13,0.1027,679.0,7,time_stop
PAIR,DLF/GODREJPROP,2025-10-13,2025-10-14,-0.7838,-5179.0,1,z_revert
PAIR,DMART/PAGEIND,2025-10-03,2025-10-15,-0.076,-501.0,12,z_revert
PAIR,DLF/GODREJPROP,2025-10-14,2025-10-15,0.7788,5130.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-10-15,2025-10-16,0.7179,4742.0,1,z_revert
BREAKOUT,DIVISLAB,2025-10-10,2025-10-17,1.9389,12839.0,7,time_stop
PAIR,DLF/GODREJPROP,2025-10-17,2025-10-20,0.9964,6643.0,3,z_revert
BREAKOUT,NESTLEIND,2025-10-16,2025-10-23,-0.4836,-3235.0,7,time_stop
PAIR,POWERGRID/RECLTD,2025-10-09,2025-10-24,-1.0997,-7344.0,15,time_stop
BREAKOUT,FEDERALBNK,2025-10-20,2025-10-27,2.6081,17351.0,7,time_stop
PAIR,NHPC/PFC,2025-10-23,2025-10-27,0.4875,3273.0,4,z_revert
PAIR,NHPC/PFC,2025-10-27,2025-10-28,-0.0348,-234.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-10-24,2025-10-29,2.0313,13658.0,5,z_revert
PAIR,NHPC/PFC,2025-10-28,2025-10-29,0.2802,1897.0,1,z_revert
