date,capital
2024-03-28,1198572.3303849683
2024-03-28,1197770.4566108657
2024-03-28,1194787.4082143179
2024-03-28,1184738.6679735954
2024-03-28,1187493.713307135
2024-03-28,1188779.4871914953
2024-03-28,1188426.3013789612
2024-03-28,1184526.7192021576
2024-03-28,1186932.825119115
2024-03-28,1187033.8273703107
2024-03-28,1187908.964441254
2024-03-28,1187850.5789570487
2024-03-28,1185727.0202748263
2024-03-28,1187226.5977280862
2024-03-28,1242806.3908499847
2024-03-28,1243316.029327458
2024-03-28,1240348.1515957755
2024-03-28,1242563.7420901142
2024-03-28,1220401.075503678
2024-03-28,1221748.442811385
2024-03-28,1225482.2164370513
2024-03-28,1226845.9813667668
2024-03-28,1230491.8348513022
2024-03-28,1233532.9066306863
2024-03-28,1231211.8537621514
2024-03-28,1231637.256831523
2024-03-28,1232960.80749286
2024-03-28,1229524.7099086058
2024-03-28,1229669.0224808764
2024-03-28,1231677.9088568126
2024-03-28,1232391.7000203049
2024-03-28,1230482.3321841725
2024-03-28,1231366.0324750745
2024-03-28,1229335.4043359228
2024-03-28,1232194.1569542228
2024-03-28,1231443.9101376992
2024-03-28,1228824.1618985224
2024-03-28,1231393.2649561511
2024-03-28,1232326.3989679066
2024-03-28,1231247.012416399
2024-03-28,1231034.75641629
2024-03-28,1230864.9808890354
2024-03-28,1231971.0784340163
2024-03-28,1236307.262208405
2024-03-28,1237320.3020298698
2024-03-28,1235955.1629511227
2024-03-28,1236218.0974896094
2024-03-28,1236849.2746287338
2024-03-28,1239004.1755981594
2024-03-28,1237050.9333501677
2024-03-28,1237173.4424288066
2024-03-28,1236932.0302647103
2024-03-28,1237263.2266773065
2024-03-28,1235329.0663151043
2024-03-28,1234897.7096263538
2024-03-28,1235328.0097973126
2024-03-28,1235295.3862100984
2024-03-28,1235398.6915080308
2024-03-28,1237196.7165194687
2024-03-28,1236783.76689144
2024-03-28,1237801.733557906
2024-03-28,1230955.221831605
2024-03-28,1230261.715550431
2024-03-28,1226616.5413611354
2024-03-28,1229671.4309576277
2024-03-28,1229616.4052239286
2024-03-28,1233883.8658295814
2024-03-28,1233704.64585987
2024-03-28,1233053.9365588424
2024-03-28,1232913.732464608
2024-03-28,1233223.0508394982
