Ticker,Date,Dividends,Stock Splits
BAJAJHLDNG,2024-06-27,21.0,0.0
BAJAJHLDNG,2024-09-24,65.0,0.0
BAJAJHLDNG,2025-06-26,28.0,0.0
BAJAJHLDNG,2025-09-21,65.0,0.0
RECLTD,2023-07-13,4.35,0.0
RECLTD,2023-08-13,3.0,0.0
RECLTD,2023-11-12,3.5,0.0
RECLTD,2024-03-27,4.5,0.0
RECLTD,2024-06-27,5.0,0.0
RECLTD,2024-08-08,3.5,0.0
RECLTD,2024-11-07,4.0,0.0
RECLTD,2025-02-13,4.3,0.0
RECLTD,2025-03-25,3.6,0.0
RECLTD,2025-07-31,4.6,0.0
RECLTD,2025-08-13,2.6,0.0
RECLTD,2025-10-26,4.6,0.0
RECLTD,2026-02-05,4.6,0.0
RECLTD,2026-03-19,3.2,0.0
POLYCAB,2023-06-20,20.0,0.0
POLYCAB,2024-07-08,30.0,0.0
POLYCAB,2025-06-23,35.0,0.0
ONGC,2023-08-17,0.5,0.0
ONGC,2023-11-20,5.75,0.0
ONGC,2024-02-15,4.0,0.0
ONGC,2024-08-22,2.5,0.0
ONGC,2024-11-18,6.0,0.0
ONGC,2025-02-06,5.0,0.0
ONGC,2025-09-03,1.25,0.0
ONGC,2025-11-13,6.0,0.0
ONGC,2026-02-17,6.25,0.0
OIL,2023-08-24,3.666667,0.0
OIL,2023-11-21,2.333333,0.0
OIL,2024-03-17,5.666667,0.0
OIL,2024-07-01,0.0,1.5
OIL,2024-08-29,2.5,0.0
OIL,2024-11-13,3.0,0.0
OIL,2025-02-16,7.0,0.0
OIL,2025-09-03,1.5,0.0
OIL,2025-11-20,3.5,0.0
OIL,2026-02-17,7.0,0.0
TORNTPHARM,2023-06-22,8.0,0.0
TORNTPHARM,2024-02-11,22.0,0.0
TORNTPHARM,2024-06-20,6.0,0.0
TORNTPHARM,2025-01-30,26.0,0.0
TORNTPHARM,2025-06-19,6.0,0.0
TORNTPHARM,2026-02-17,29.0,0.0
SOLARINDS,2023-06-08,8.0,0.0
SOLARINDS,2024-07-03,8.5,0.0
SOLARINDS,2025-07-07,10.0,0.0
UPL,2023-08-02,9.592433,0.0
UPL,2024-08-11,0.959243,0.0
UPL,2025-07-10,6.0,0.0
ICICIPRULI,2023-07-12,0.6,0.0
ICICIPRULI,2024-06-12,0.6,0.0
ICICIPRULI,2025-06-11,0.85,0.0
DRREDDY,2023-07-10,8.0,0.0
DRREDDY,2024-07-15,8.0,0.0
